"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
1,0,3,4,1,3,3,4,0,1,3,1,3,3,3,4,3,4,8,4,0.222419929
2,0,2,3,2,1,2,3,0,0,1,0,1,1,1,2,2,4,3,4,0.222419929
3,0,2,3,2,4,3,3,0,1,1,0,1,1,1,3,4,4,6,3,0.222419929
4,1,3,4,4,4,5,2,1,1,2,1,1,1,2,2,4,2,7,4,0.222419929
5,0,3,4,2,5,4,1,1,1,4,1,4,1,4,4,5,4,3,4,0.222419929
6,1,2,4,4,5,4,3,0,1,2,1,1,1,2,5,5,5,10,5,0.222419929
7,1,NA,4,1,3,5,1,0,NA,1,0,1,1,1,2,4,3,3,4,0.224034476
8,0,2,4,6,4,2,2,0,1,1,0,1,1,1,1,4,3,2,2,0.222419929
9,0,2,4,4,4,1,1,0,1,2,1,1,1,2,1,5,5,7,2,0.222419929
10,0,3,4,2,4,4,1,0,1,3,1,3,3,3,5,4,5,3,5,0.222419929
11,0,4,4,2,4,4,5,0,1,1,0,1,1,1,3,5,4,5,4,0.222419929
12,1,2,4,1,6,4,4,1,1,1,0,1,1,1,5,4,4,5,5,0.501949734
13,1,2,4,1,1,2,3,0,0,3,1,1,1,3,1,4,1,1,3,0.222419929
14,1,4,4,6,4,3,3,0,1,2,1,1,1,2,2,5,3,2,4,0.222419929
15,0,4,4,2,3,5,4,0,1,1,0,1,1,1,2,2,2,3,4,0.222419929
16,1,3,4,1,4,4,2,0,1,1,0,1,1,1,3,4,4,2,4,0.707379899
17,0,3,4,4,5,3,5,0,1,2,1,1,1,2,5,5,5,10,5,0.222419929
18,0,4,3,5,3,5,5,0,1,1,0,1,1,1,3,3,1,3,3,0.222419929
19,0,3,3,1,2,4,2,0,1,4,1,4,1,4,5,5,4,3,4,0.222419929
20,0,3,4,1,4,5,5,1,1,1,0,1,1,1,4,4,4,5,5,0.222419929
21,1,3,4,3,5,1,1,0,1,1,0,1,1,1,1,5,5,10,1,0.232173727
22,0,4,4,5,3,4,4,0,1,1,0,1,1,1,3,2,2,3,4,0.222419929
23,1,3,4,5,4,2,2,1,1,1,0,1,1,1,1,2,4,3,2,0.232173727
24,1,3,3,2,4,3,2,0,1,1,0,1,1,1,3,4,4,5,4,0.222419929
25,1,3,4,2,5,2,5,0,1,2,1,1,1,2,4,3,2,4,4,0.222419929
26,0,2,3,2,3,4,2,0,1,3,1,1,3,1,4,4,4,5,4,0.222419929
27,0,3,4,1,4,2,4,0,1,2,1,1,1,2,1,2,2,2,2,0.222419929
28,0,2,4,3,6,4,1,1,1,5,1,5,1,5,5,5,4,4,5,0.222419929
29,1,4,3,2,5,5,5,0,1,1,0,1,1,1,3,3,3,2,4,0.222419929
30,1,3,4,1,3,5,3,0,1,1,0,1,1,1,4,3,4,4,5,0.707379899
31,0,2,2,2,1,5,3,0,0,2,1,2,2,2,3,3,3,3,5,0.232238469
32,0,3,4,1,4,5,5,0,1,1,0,1,1,1,5,5,1,1,5,0.222419929
33,0,3,4,4,5,5,1,0,1,1,0,1,1,1,2,5,4,5,2,0.222419929
34,0,2,4,4,4,4,1,0,1,4,1,4,4,4,5,5,4,3,5,0.222419929
35,1,3,4,3,6,4,4,0,1,3,1,3,1,1,1,4,4,3,4,0.232173727
36,0,3,4,1,5,5,2,1,1,4,1,4,4,4,4,3,4,3,3,0.222419929
37,0,2,4,6,5,3,5,0,0,2,1,1,1,2,3,2,1,0,5,0.222419929
38,1,4,4,6,4,4,3,0,1,3,1,3,1,3,1,5,2,5,4,0.222419929
39,0,4,3,1,6,4,4,0,1,3,1,1,1,3,4,4,3,5,3,0.222419929
40,0,3,5,3,5,5,3,0,1,1,0,1,1,1,3,4,3,5,4,0.222419929
41,1,4,5,3,6,5,5,1,1,2,1,1,1,2,4,2,4,3,4,0.232173727
42,0,3,3,5,3,3,3,0,1,4,1,1,1,4,2,4,4,3,3,0.222419929
43,0,2,4,2,3,5,1,0,1,4,1,4,1,4,4,4,3,3,4,0.222419929
